Source,Preferred society name,Society id,Cross-dataset id,Original society name,eHRAF name,eHRAF code,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family
Ethnographic Atlas,Mesakin,Ai39,xd369,Mesakin (Ai39),,,11,30,11,30,ngil1242,Ngile,jle,Narrow Talodi
Western North American Indian database,Mescalero,WNAI154,xd1265,Mescalero Apache (J154),,,32.5,-105,32.5,105,mesc1238,Mescalero-Chiricahua Apache,apm,Athapaskan-Eyak-Tlingit
Binford Hunter-Gatherer,Walbiri,B109,xd773,Walbiri (B109),,,-20,130.57,-20,130.57,warl1254,Warlpiri,wbp,Pama-Nyungan
Ethnographic Atlas,Wadaduka,Nd41,xd1176,Wadaduka (Nd41),,,41,-116,41,-116,west2622,Western Shoshoni,,Uto-Aztecan
Ethnographic Atlas,Mescalero,Nh15,xd1265,Mescalero (Nh15),,,33,-103,33,-103,mesc1238,Mescalero-Chiricahua Apache,apm,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Ambonese,Ic11,xd761,Ambonese (Ic11),,,-3.71,128.18,-4,128,ambo1250,Ambonese Malay,abs,Austronesian
Ethnographic Atlas,Miao,Ed4,xd647,Miao (Ed4),Miao,AE05,26,107,26,107,horn1235,Horned Miao,hrm,Hmong-Mien
Ethnographic Atlas,Midobi,Cb11,xd460,Midobi (Cb11),,,16,27,16,27,mido1240,Midob,mei,Nubian
Ethnographic Atlas,Siuai,Ig1,xd841,Siuai (Ig1),Siwai,ON19,-6,155,-6,155,siwa1245,Siwai,siw,South Bougainville
Binford Hunter-Gatherer,Ainu,B22,xd635,Ainu (B22),Ainu,AB06,44.01,144.17,44.01,144.17,ainu1240,Hokkaido Ainu,ain,Ainu
Ethnographic Atlas,Aimoré,Sj5,xd1413,Botocudo (Sj5),,,-18,-42,-18,-42,kren1239,Krenak,kqq,Nuclear-Macro-Je
Ethnographic Atlas,Walloons,Cg5,xd545,Walloons (Cg5),,,50,5,50,5,wall1255,Walloon,wln,Indo-European
Western North American Indian database,Akwa’ala,WNAI92,xd1426,Akwa’ala (Hokan) (J92),,,31.5,-115.8,31.5,115.8,paip1241,Paipai,ppi,Cochimi-Yuman
Binford Hunter-Gatherer,Mi'kmaq,B329,xd1058,Micmac (B329),Mi'kmaq,NJ05,46.99,-65,46.99,-65,mikm1235,Mi'kmaq,mic,Algic
Ethnographic Atlas,Mimika,Ie30,xd808,Mimika (Ie30),,,-4,135,-4,135,kamo1255,Kamoro,kgq,Nuclear Trans New Guinea
Ethnographic Atlas,American Samoans,Ii1,xd876,Samoans (Ii1),,,-13.68,-172.41,-14.289155,-170.706485,samo1305,Samoan,smo,Austronesian
Standard cross-cultural sample,Siuai,SCCS99,xd841,Siuai (SCCS99),Siwai,ON19,-6.76,155.45,-7,155.33,siwa1245,Siwai,siw,South Bougainville
Ethnographic Atlas,Amahuaca,Se8,xd1372,Amahuaca (Se8),,,-10,-72,-10,-72,amah1246,Amahuaca,amc,Pano-Tacanan
Binford Hunter-Gatherer,Alkatcho,B336,xd1069,Alkatcho (B336),,,51.32,-124.02,51.32,-124.02,sout2958,Southern Carrier,caf,Athapaskan-Eyak-Tlingit
Binford Hunter-Gatherer,Walmbaria,B98,xd947,Walmbaria (B98),,,-14.34,144.22,-14.34,144.22,flin1247,Flinders Island,fln,Pama-Nyungan
Ethnographic Atlas,Amhara,Ca7,xd455,Amhara (Ca7),Amhara,MP05,13,38,13,38,amha1245,Amharic,amh,Afro-Asiatic
Binford Hunter-Gatherer,Alacaluf,B53,xd1387,Alacaluf (B53),,,-49.55,-74.52,-49.55,-74.52,qawa1238,Qawasqar,alc,Kawesqar
Binford Hunter-Gatherer,Aimoré,B48,xd1413,Botocudo (B48),,,-18.71,-41.86,-18.71,-41.86,kren1239,Krenak,kqq,Nuclear-Macro-Je
Standard cross-cultural sample,Alorese,SCCS89,xd764,Alorese (SCCS89),Alor,OF05,-8.33,124.67,-8.33,124.67,abui1241,Abui,abz,Timor-Alor-Pantar
Ethnographic Atlas,Siuslaw,Nb29,xd1089,Siuslaw (Nb29),,,44,-124,44,-124,sius1254,Siuslaw,sis,Siuslaw
Ethnographic Atlas,Amba,Ae1,xd127,Amba (Ae1),,,1,30,1,30,amba1263,Amba (Uganda),rwm,Atlantic-Congo
Standard cross-cultural sample,Aleut,SCCS123,xd1067,Aleut (SCCS123),Aleut,NA06,55,-162.85,55.25,-164,east2533,Eastern Aleut,,Eskimo-Aleut
Ethnographic Atlas,Wantoat,Ie2,xd796,Wantoat (Ie2),,,-6.15,146.53,-7,147,want1252,Wantoat,wnc,Nuclear Trans New Guinea
Ethnographic Atlas,Miskito,Sa9,xd1325,Miskito (Sa9),Miskito,SA15,13,-85,13,-85,misk1235,Mískito,miq,Misumalpan
Binford Hunter-Gatherer,Alyawara,B117,xd964,Alyawara (B117),,,-22.27,135.17,-22.27,135.17,alya1239,Alyawarr,aly,Pama-Nyungan
Ethnographic Atlas,Algerians,Cd12,xd510,Algerians (Cd12),,,31,2,31,2,algi1247,Algiers,,Afro-Asiatic
Ethnographic Atlas,Amarar,Ca35,xd443,Amarar (Ca35),,,20,36,20,36,amar1281,Amara (Beja),,Afro-Asiatic
Western North American Indian database,Siuslaw,WNAI30,xd1089,Siuslaw (J30),,,44,-124,44,124,sius1254,Siuslaw,sis,Siuslaw
Ethnographic Atlas,Alsea,Nb28,xd1088,Alsea (Nb28),,,44,-124,44,-124,alse1251,Alsea-Yaquina,aes,Alsea-Yaquina
Ethnographic Atlas,Alur,Aj17,xd392,Alur (Aj17),,,2,31,2,31,alur1250,Alur,alz,Nilotic
Ethnographic Atlas,Wapishana,Sc5,xd1348,Wapishana (Sc5),,,3,-60,3,-60,wapi1253,Wapishana,wap,Arawakan
Ethnographic Atlas,Akha,Ej7,xd729,Akha (Ej7),,,21,100,21,100,akha1245,Akha,ahk,Sino-Tibetan
Ethnographic Atlas,Aleut,Na9,xd1067,Aleut (Na9),Aleut,NA06,53.86,-166.79,54,-167,east2533,Eastern Aleut,,Eskimo-Aleut
Standard cross-cultural sample,Amhara,SCCS37,xd455,Amhara (SCCS37),Amhara,MP05,12.5,37.75,12.5,37.75,amha1245,Amharic,amh,Afro-Asiatic
Ethnographic Atlas,Ainu,Ec7,xd635,Ainu (Ec7),Ainu,AB06,44,144,44,144,ainu1240,Hokkaido Ainu,ain,Ainu
Ethnographic Atlas,Sivokakmeit,Na11,xd1028,Sivokakmeit (Na11),,,63.34,-170.3,63,-170,aiwa1238,Aiwanat,,Eskimo-Aleut
Ethnographic Atlas,Moanunts,Nd59,xd1195,Moanunts (Nd59),,,39,-112,39,-112,utee1244,Ute,,Uto-Aztecan
Standard cross-cultural sample,Amahuaca,SCCS170,xd1372,Amahuaca (SCCS170),,,-10.33,-72.25,-10.33,-72.25,amah1246,Amahuaca,amc,Pano-Tacanan
Western North American Indian database,Wappo,WNAI66,xd1119,Wappo Yukian (J66),,,38.7,-123,38.7,123,wapp1239,Wappo,wao,Yuki-Wappo
Standard cross-cultural sample,Ajie,SCCS103,xd871,Ajie (SCCS103),,,-21.33,165.67,-21.33,165.67,ajie1238,Ajië,aji,Austronesian
Ethnographic Atlas,Alkatcho,Nb10,xd1069,Alkatcho (Nb10),,,53,-126,53,-126,sout2958,Southern Carrier,caf,Athapaskan-Eyak-Tlingit
Western North American Indian database,Modoc,WNAI113,xd1140,Modoc (J113),,,42,-121.7,42,121.7,klam1254,Klamath-Modoc,kla,Klamath-Modoc
Ethnographic Atlas,Aimol,Ei11,xd698,Aimol (Ei11),,,25,94,25,94,aimo1244,Aimol,aim,Sino-Tibetan
Binford Hunter-Gatherer,Sivokamiut Inuit,B379,xd1020,Sivokamiut Inuit (B379),,,63.49,-170.31,63.49,-170.31,poin1245,Point Hope Inupiatun,,Eskimo-Aleut
Binford Hunter-Gatherer,Aka,B60,xd923,Aka (B60),,,2,17,2,17,bamb1264,Bambenzele,,Atlantic-Congo
Ethnographic Atlas,Moghol,Ea7,xd606,Moghol (Ea7),,,34,63,34,63,mogh1245,Mogholi,mhj,Mongolic
Ethnographic Atlas,Wappo,Nc20,xd1119,Wappo (Nc20),,,38.22,-122.56,38,-123,wapp1239,Wappo,wao,Yuki-Wappo
Western North American Indian database,Mojave,WNAI140,xd1272,Mohave (J140),Mohave,NT28,34.5,-114.5,34.5,114.5,moha1256,Mohave,mov,Cochimi-Yuman
Ethnographic Atlas,Akyem,Af12,xd189,Akyem (Af12),Twi,FE12,7,-1,7,-1,akye1239,Akyem Bosome,,Atlantic-Congo
Ethnographic Atlas,Ambo,Ab19,xd20,Ambo (Ab19),,,-17,16,-17,16,ndon1254,Ndonga,ndo,Atlantic-Congo
Ethnographic Atlas,Moldovans,ch25,xd563,Moldovans (ch25),,,47,29,47,29,mold1248,Moldavian,mol,Indo-European
Ethnographic Atlas,Siwans,Cc3,xd500,Siwans (Cc3),Siwans,MR14,29,26,29,26,siwi1239,Siwi,siz,Afro-Asiatic
Ethnographic Atlas,Molima,Ig19,xd851,Molima (Ig19),,,-10,151,-10,151,moli1248,Molima,mox,Austronesian
Binford Hunter-Gatherer,Aleut,B298,xd1067,Aleut (B298),Aleut,NA06,55,-162.85,55,-162.85,east2533,Eastern Aleut,,Eskimo-Aleut
Binford Hunter-Gatherer,Wappo,B172,xd1119,Wappo (B172),,,38.59,-122.54,38.59,-122.54,wapp1239,Wappo,wao,Yuki-Wappo
Ethnographic Atlas,Soga,Ad46,xd116,Soga (Ad46),,,1,33,1,33,soga1242,Soga,xog,Atlantic-Congo
Ethnographic Atlas,Warao,Sc1,xd1335,Warrau (Sc1),Warao,SS18,9,-62,9,-62,wara1303,Warao,wba,Warao
Binford Hunter-Gatherer,Comox,B282,xd1073,Comox (B282),,,50,-125.5,50,-125.5,isla1276,Island Comox,,Salishan
Standard cross-cultural sample,Somali,SCCS36,xd426,Somali (SCCS36),Somali,MO04,9,47.25,9,47.25,nort3051,Northern Somali,,Afro-Asiatic
Binford Hunter-Gatherer,Anak Dalam,B3,xd757,Kubu (B3),,,-3.04,102.69,-3.04,102.69,kubu1239,Kubu,kvb,Austronesian
Ethnographic Atlas,Ndyuka,Sc18,xd1344,Djuka (Sc18),,,5,-54,5,-54,ndyu1242,Aukan,djk,Indo-European
Ethnographic Atlas,Somali,Ca2,xd426,Somali (Ca2),Somali,MO04,8,48,8,48,nort3051,Northern Somali,,Afro-Asiatic
Ethnographic Atlas,Birom,Ah17,xd306,Birom (Ah17),,,10,9,10,9,bero1242,Berom,bom,Atlantic-Congo
Ethnographic Atlas,Bungi,Ne14,xd1213,Bungi (Ne14),Ojibwa,NG06,51,-100,51,-100,west1510,Western Ojibwa,ojw,Algic
Ethnographic Atlas,Somba,Ag51,xd290,Somba (Ag51),,,11,1,11,1,dita1238,Ditammari,tbz,Atlantic-Congo
Binford Hunter-Gatherer,Warunggu,B107,xd955,Warunggu (B107),,,-18.41,145.61,-18.41,145.61,waru1264,Warungu,wrg,Pama-Nyungan
Ethnographic Atlas,Negidal,ec17,xd625,Negidal (ec17),,,52,134,52,134,negi1245,Negidal,neg,Tungusic
Ethnographic Atlas,Songhai,Cb3,xd480,Songhai (Cb3),Songhai,MS20,17,-1,17,-1,humb1243,Humburi Senni Songhay,hmb,Songhay
Binford Hunter-Gatherer,Washo,B225,xd1196,Washo (B225),Washo,NT20,39.08,-119.82,39.08,-119.82,wash1253,Washo,was,Washo
Ethnographic Atlas,Negri Sembilan,Ej16,xd723,Negri Sembilan (Ej16),,,21,102,21,102,nege1240,Negeri Sembilan Malay,zmi,Austronesian
Standard cross-cultural sample,Songhai,SCCS24,xd480,Songhai (SCCS24),,,16.58,-1.67,16.58,-1.67,humb1243,Humburi Senni Songhay,hmb,Songhay
Ethnographic Atlas,Washo,Nd6,xd1196,Washo (Nd6),Washo,NT20,39,-120,39,-120,wash1253,Washo,was,Washo
Standard cross-cultural sample,Negri Sembilan,SCCS82,xd723,Negri Sembilan (SCCS82),,,2.58,102.25,2.58,102.25,nege1240,Negeri Sembilan Malay,zmi,Austronesian
Ethnographic Atlas,Songo,Ac25,xd50,Songo (Ac25),,,-5,18,-5,18,song1299,Nsong,soo,Atlantic-Congo
Western North American Indian database,Washo,WNAI119,xd1196,Washo (J119),Washo,NT20,39,-120,39,120,wash1253,Washo,was,Washo
Ethnographic Atlas,Afikpo,Af23,xd201,Afikpo (Af23),Igbo,FF26,6,8,6,8,afik1238,Afikpo,,Atlantic-Congo
Ethnographic Atlas,Songola,Ae11,xd129,Songola (Ae11),,,-4,26,-4,26,song1300,Songoora,sod,Atlantic-Congo
Binford Hunter-Gatherer,Waskaganish,B360,xd1011,Rupert House Cree (B360),,,51.08,-77.81,51.08,-77.81,sout2978,Southern East Cree,crj,Algic
Ethnographic Atlas,Netsilik,Na43,xd1060,Netsilik (Na43),,,69,-96,69,-96,nets1241,Netsilik,,Eskimo-Aleut
Ethnographic Atlas,Songye,Ae18,xd136,Songe (Ae18),,,-6,25,-6,25,song1303,Songe,sop,Atlantic-Congo
Binford Hunter-Gatherer,Waswanipi Cree,B340,xd1005,Waswanipi Cree (B340),,,49.78,-76.64,49.78,-76.64,sout2978,Southern East Cree,crj,Algic
Ethnographic Atlas,New Englanders,Cf1,xd536,New England (Cf1),,,42,-73,42,-73,stan1293,English,eng,Indo-European
Ethnographic Atlas,Soninke,Ag25,xd261,Soninke (Ag25),,,15,10,15,10,soni1259,Soninke,snk,Mande
Ethnographic Atlas,Bete,Af7,xd241,Bete (Af7),,,6,-7,6,-7,guib1246,Guiberoua Béte,bet,Atlantic-Congo
Binford Hunter-Gatherer,Burarra,B86,xd941,Anbarra (B86),,,-12.2,134.73,-12.2,134.73,gunn1247,Gun-narta,,Maningrida
Ethnographic Atlas,Sonjo,Ad39,xd108,Sonjo (Ad39),,,-3,36,-3,36,temi1247,Temi,soz,Atlantic-Congo
Binford Hunter-Gatherer,Agaiduka,B207,xd1182,Salmon Eater Shoshoni (B207),,,42.94,-115.3,42.94,-115.3,nort2955,Northern Shoshoni,,Uto-Aztecan
Ethnographic Atlas,Afar,Ca6,xd454,Afar (Ca6),,,12,42,12,42,afar1241,Afar,aar,Afro-Asiatic
Ethnographic Atlas,Wayuu,Sb6,xd1331,Goajiro (Sb6),Goajiro,SC13,12,-72,12,-72,wayu1243,Wayuu,guc,Arawakan
Ethnographic Atlas,Coniagui,Ag8,xd296,Coniagui (Ag8),,,13,-13,13,-13,wame1240,Wamey,cou,Atlantic-Congo
Ethnographic Atlas,Coos,Nb21,xd1081,Coos (Nb21),,,43,-124,43,-124,coos1249,Hanis,csz,Coosan
Ethnographic Atlas,Nez Perce,Nd20,xd1153,Nez Perce (Nd20),,,45,-115,45,-115,nezp1238,Nez Perce,nez,Sahaptian
Binford Hunter-Gatherer,Coos,B275,xd1081,Coos (B275),,,43.43,-124.11,43.43,-124.11,coos1249,Hanis,csz,Coosan
Western North American Indian database,Coos,WNAI31,xd1081,Coos (J31),,,43.3,-124.2,43.3,124.2,coos1249,Hanis,csz,Coosan
Ethnographic Atlas,Abenaki,Ng13,xd1248,Abnaki (Ng13),,,46,-70,46,-70,peno1243,Penobscot,,Algic
Standard cross-cultural sample,Copper Inuit,SCCS124,xd1022,Copper Eskimo (SCCS124),Copper Eskimo,ND08,68.72,-112.53,68,-112.5,copp1244,Copper Inuktitut,,Eskimo-Aleut
Ethnographic Atlas,Copper Inuit,Na3,xd1022,Copper Eskimo (Na3),Copper Eskimo,ND08,69,-110,69,-110,copp1244,Copper Inuktitut,,Eskimo-Aleut
Ethnographic Atlas,Bikinians,If12,xd827,Bikinians (If12),Marshalls,OR11,11.7,165.29,12,165,rali1241,Rälik,,Austronesian
Binford Hunter-Gatherer,Copper Inuit,B381,xd1022,Copper Inuit (B381),Copper Eskimo,ND08,68.58,-106.61,68.58,-106.61,copp1244,Copper Inuktitut,,Eskimo-Aleut
Ethnographic Atlas,Cowichan,Nb26,xd1086,Cowichan (Nb26),,,49.01,-122.73,49,-123,cowi1241,Cowichan,,Salishan
Ethnographic Atlas,Burmawa,Ah18,xd307,Borrom (Ah18),,,10,10,10,10,bogh1241,Boghom,bux,Afro-Asiatic
Binford Hunter-Gatherer,Cowichan,B280,xd1086,Cowichan (B280),,,48.41,-123.64,48.41,-123.64,cowi1241,Cowichan,,Salishan
Western North American Indian database,Cowichan,WNAI17,xd1086,Cowichan Salish (J17),,,48.7,-123.7,48.7,123.7,cowi1241,Cowichan,,Salishan
Ethnographic Atlas,Sotho,Ab8,xd31,Sotho (Ab8),,,-29,28,-29,28,sout2807,Southern Sotho,sot,Atlantic-Congo
Ethnographic Atlas,Crow,Ne4,xd1223,Crow (Ne4),Crow,NQ10,45,-108,45,-108,crow1244,Crow,cro,Siouan
Western North American Indian database,Agaiduka,WNAI126,xd1182,Agaiduka Shoshone (J126),,,45,-113.8,45,113.8,nort2955,Northern Shoshoni,,Uto-Aztecan
Binford Hunter-Gatherer,Crow,B248,xd1223,Crow (B248),Crow,NQ10,45.83,-108.48,45.83,-108.48,crow1244,Crow,cro,Siouan
Western North American Indian database,Wenatchi,WNAI102,xd1148,Wenatchi (J102),,,47.5,-120.3,47.5,120.3,wena1241,Wenatchi,,Salishan
Ethnographic Atlas,Cubeo,Se5,xd1369,Cubeo (Se5),Tucano,SQ19,1,-71,1,-71,cube1242,Cubeo,cub,Tucanoan
Standard cross-cultural sample,Cubeo,SCCS167,xd1369,Cubeo (SCCS167),Tucano,SQ19,1.25,-70.5,1.25,-70.5,cube1242,Cubeo,cub,Tucanoan
Ethnographic Atlas,Ngäbe,Sa14,xd1314,Guaymi (Sa14),,,8,-81,8,-81,ngab1239,Ngäbere,gym,Chibchan
Ethnographic Atlas,Cupeño,Nc32,xd1132,Cupeno (Nc32),,,33,-117,33,-117,cupe1243,Cupeño,cup,Uto-Aztecan
Binford Hunter-Gatherer,Cupeño,B145,xd1132,Cupeno (B145),,,33.26,-116.59,33.26,-116.59,cupe1243,Cupeño,cup,Uto-Aztecan
Binford Hunter-Gatherer,Southern Aranda,B122,xd968,Southern Arenda (B122),,,-26.09,135.52,-26.09,135.52,lowe1436,Lower Southern Aranda,axl,Pama-Nyungan
Western North American Indian database,Cupeño,WNAI83,xd1132,Cupeno (J83),,,33.2,-116.7,33.2,116.7,cupe1243,Cupeño,cup,Uto-Aztecan
Ethnographic Atlas,Curripaco,Sc9,xd1352,Curipaco (Sc9),,,5,-67,5,-67,curr1243,Curripaco,kpc,Arawakan
Standard cross-cultural sample,Ancient Romans,SCCS49,xd530,Romans (SCCS49),Imperial Romans,EI09,41.67,13.5,41.67,13.5,lati1261,Latin,lat,Indo-European
Ethnographic Atlas,Czechs,Ch3,xd567,Czechs (Ch3),,,50,16,50,16,czec1258,Czech,ces,Indo-European
Ethnographic Atlas,Dagara,Ag39,xd276,Dagari (Ag39),,,11,-3,11,-3,sout2789,Central Dagaare,dga,Atlantic-Congo
Standard cross-cultural sample,Burmese,SCCS71,xd709,Burmese (SCCS71),Burmans,AP04,22,95.67,22,95.67,nucl1310,Burmese,mya,Sino-Tibetan
Ethnographic Atlas,Dagomba,Ag44,xd282,Dagomba (Ag44),,,9,0,9,0,dagb1246,Dagbani,dag,Atlantic-Congo
Ethnographic Atlas,Dagur,Eb4,xd612,Dagur (Eb4),,,49,125,49,125,daur1238,Dagur,dta,Mongolic
Western North American Indian database,Southern Miwok,WNAI70,xd1421,Southern Miwok (J70),,,37.5,-119.5,37.5,119.5,sout2985,Southern Sierra Miwok,skd,Miwok-Costanoan
Ethnographic Atlas,Dahuni,Ig14,xd846,Dahuni (Ig14),,,-10.41,149.91,-10,150,suau1242,Suau,swp,Austronesian
Ethnographic Atlas,Daka,Ah29,xd319,Daka (Ah29),,,8,11,8,11,samb1311,Samba Daka,ccg,Atlantic-Congo
Binford Hunter-Gatherer,Wenatchi,B317,xd1148,Wenatchi (B317),,,47.41,-120.31,47.41,-120.31,wena1241,Wenatchi,,Salishan
Ethnographic Atlas,Dakakari,Ah13,xd302,Dakakari (Ah13),,,12,5,12,5,clel1238,C'lela,dri,Atlantic-Congo
Binford Hunter-Gatherer,Dakelh,B349,xd1035,Carrier (B349),,,53.33,-123.15,53.33,-123.15,carr1249,Carrier,crx,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Nganasan,ec12,xd620,Nganasan (ec12),Samoyed_with_notes_on_Nganasan,RU04,72,90,72,90,ngan1291,Nganasan,nio,Uralic
Ethnographic Atlas,Dakelh,Na19,xd1035,Carrier (Na19),,,54,-124,54,-124,carr1249,Carrier,crx,Athapaskan-Eyak-Tlingit
Western North American Indian database,Dakelh (Alkatcho Carrier),WNAI93,xd1035,Alkatcho Carrier (J93),,,55,-127,55,127,carr1249,Carrier,crx,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Southern Paiute (Kaibab),Nd53,xd1189,Kaibab (Nd53),,,36,-113,36,-113,sout2969,Southern Paiute,,Uto-Aztecan
Western North American Indian database,Dakelh (Lower Carrier),WNAI94,xd1035,Lower Carrier (J94),,,53,-122.7,53,122.7,carr1249,Carrier,crx,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Dan,Af50,xd231,Dan (Af50),,,8,8,8,8,gwee1242,Gweetaawu,,Mande
Ethnographic Atlas,Western Apache,Nh17,xd1267,Western Apache (Nh17),Western,NT21,34,-110,34,-110,west2615,Western Apache,apw,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Dani,Ie38,xd816,Dani (Ie38),,,-4,139,-4,139,midg1235,Mid Grand Valley Dani,dnt,Nuclear Trans New Guinea
Binford Hunter-Gatherer,Netsilik,B387,xd1060,Netsilik Inuit (B387),,,71.46,-94.93,71.46,-94.93,nets1241,Netsilik,,Eskimo-Aleut
Ethnographic Atlas,Darasa,Ca15,xd421,Darasa (Ca15),,,6,38,6,38,gede1246,Gedeo,drs,Afro-Asiatic
Binford Hunter-Gatherer,Nganasan,B27,xd620,Nganasan (B27),Samoyed_with_notes_on_Nganasan,RU04,73.83,90,73.83,90,ngan1291,Nganasan,nio,Uralic
Ethnographic Atlas,Daza,Cc14,xd492,Daza (Cc14),,,17,18,17,18,daza1242,Dazaga,dzg,Saharan
Ethnographic Atlas,Deg Xit'an,Na8,xd1066,Ingalik (Na8),Ingalik,NA08,62,-160,62,-160,dege1248,Degexit'an,ing,Athapaskan-Eyak-Tlingit
Standard cross-cultural sample,Abipón,SCCS183,xd1390,Abipon (SCCS183),Abipon,SI04,-28,-59.5,-28,-59.5,abip1241,Abipon,axb,Guaicuruan
Standard cross-cultural sample,Deg Xit'an,SCCS122,xd1066,Ingalik (SCCS122),,,62.5,-159.5,62.5,-159.5,dege1248,Degexit'an,ing,Athapaskan-Eyak-Tlingit
Binford Hunter-Gatherer,Deg Xit'an,B357,xd1066,Ingalik (B357),,,61.82,-157.75,61.82,-157.75,dege1248,Degexit'an,ing,Athapaskan-Eyak-Tlingit
Western North American Indian database,Western Apache (Cibecue),WNAI150,xd1267,Cibecue Western Apache (J150),Western,NT21,34.6,-110.6,34.6,110.6,west2615,Western Apache,apw,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Delaware,Ng6,xd1255,Delaware (Ng6),Delaware,NM07,41,-75,41,-75,pidg1246,Pidgin Delaware,dep,Pidgin
Ethnographic Atlas,Delim,Cc17,xd495,Delim (Cc17),,,22,-15,22,-15,hass1238,Hassaniyya,mey,Afro-Asiatic
Ethnographic Atlas,Buryat,Eb6,xd614,Buryat (Eb6),,,52,107,52,107,russ1264,Russia Buriat,bxr,Mongolic
Binford Hunter-Gatherer,Délįne,B358,xd1033,Satudene-Bear Lake (B358),,,65.75,-122.89,65.75,-122.89,nort2942,North Slavey,scs,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Délįne,Na16,xd1033,Satudene (Na16),,,65,-119,65,-119,nort2942,North Slavey,scs,Athapaskan-Eyak-Tlingit
Western North American Indian database,Southern Paiute (Kaibab and Las Vegas),WNAI133,xd1189,Kaibab Southern Paiute (J133),,,36.5,-112,36.5,112,sout2969,Southern Paiute,,Uto-Aztecan
Binford Hunter-Gatherer,Dena'ina,B362,xd1042,Tanaina (B362),,,61.74,-150.45,61.74,-150.45,tana1289,Tanaina,tfn,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Dena'ina,Na26,xd1042,Tanaina (Na26),,,62,-144,62,-144,tana1289,Tanaina,tfn,Athapaskan-Eyak-Tlingit
Standard cross-cultural sample,Warao,SCCS162,xd1335,Warrau (SCCS162),Warao,SS18,9.08,-62,9.08,-62,wara1303,Warao,wba,Warao
Western North American Indian database,Western Apache (North Tonto),WNAI147,xd1267,North Tonto Western Apache (J147),Western,NT21,35,-111.8,35,111.8,west2615,Western Apache,apw,Athapaskan-Eyak-Tlingit
Binford Hunter-Gatherer,Dene,B355,xd1046,Chippewyan (B355),Chipewyan,ND07,59.47,-106.19,59.47,-106.19,chip1261,Chipewyan,chp,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Dene,Na30,xd1046,Chipewyan (Na30),Chipewyan,ND07,60,-105,60,-105,chip1261,Chipewyan,chp,Athapaskan-Eyak-Tlingit
Binford Hunter-Gatherer,Ngatatjara,B118,xd965,Ngatatjara (B118),,,-25.32,127.27,-25.32,127.27,ngaa1240,Ngaanyatjarra,ntj,Pama-Nyungan
Standard cross-cultural sample,DeneTha,SCCS128,xd1034,Slave (SCCS128),,,62,-122,62,-122,sout2959,South Slavey,xsl,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,DeneTha,Na17,xd1034,Slave (Na17),,,61,-120,61,-120,sout2959,South Slavey,xsl,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Southern Paiute (Las Vegas),Nd55,xd1189,Las Vegas (Nd55),,,36,-115,36,-115,sout2969,Southern Paiute,,Uto-Aztecan
Binford Hunter-Gatherer,DeneTha,B345,xd1034,Slave (B345),,,61.15,-119.5,61.15,-119.5,sout2959,South Slavey,xsl,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Dera,Cb28,xd478,Dera (Cb28),,,10,12,10,12,dera1248,Dera (Nigeria),kna,Afro-Asiatic
Western North American Indian database,Western Apache (San Carlos),WNAI149,xd1267,San Carlos Western Apache (J149),Western,NT21,33.5,-110.8,33.5,110.8,west2615,Western Apache,apw,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Agaiduka,Nd46,xd1182,Agaiduka (Nd46),,,44,-112,44,-112,nort2955,Northern Shoshoni,,Uto-Aztecan
Ethnographic Atlas,Digo,Ad30,xd99,Digo (Ad30),,,-4,39,-4,39,digo1243,Digo,dig,Atlantic-Congo
Binford Hunter-Gatherer,Ngatjan,B110,xd957,Ngatjan (B110),,,-17.36,145.56,-17.36,145.56,ngad1260,Ngadjan,,Pama-Nyungan
Ethnographic Atlas,Dilling,Ai8,xd382,Dilling (Ai8),,,12,30,12,30,dill1242,Dilling,dil,Nubian
Ethnographic Atlas,Dime,Ca24,xd431,Dime (Ca24),,,6,36,6,36,dime1235,Dime,dim,South Omotic
Ethnographic Atlas,Southern Pomo,Nc19,xd1117,Southern Pomo (Nc19),Pomo,NS18,38.55,-122.94,38,-123,sout2984,Southern Pomo,peq,Pomoan
Ethnographic Atlas,Dinka,Aj11,xd386,Dinka (Aj11),,,9,29,9,29,sout2832,Southwestern Dinka,dik,Nilotic
Ethnographic Atlas,Diola,Ag19,xd254,Diola (Ag19),,,12.88,-16.19,12,-17,jola1263,Jola-Fonyi,dyo,Atlantic-Congo
Western North American Indian database,Western Apache (South Tonto),WNAI148,xd1267,South Tonto Western Apache (J148),Western,NT21,34,-111.2,34,111.2,west2615,Western Apache,apw,Athapaskan-Eyak-Tlingit
